timestamp,flow_id,src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,total_packets,total_bytes,packet_rate,byte_rate,forward_packets,backward_packets,packet_size_mean,packet_size_std,packet_size_min,packet_size_max,inter_arrival_time,iat_std,tcp_syn,tcp_ack,tcp_rst,tcp_fin,source_ip_entropy,destination_ip_entropy,unique_destination_hosts,unique_destination_ports,fanout,scan_rate,dns_query_count,unique_domains,dns_query_length,dns_entropy,nxdomain_ratio,dns_query_rate,periodicity_score,dominant_frequency_hz,ja3,ja4,tls_version,quic_version,outbound_bytes,inbound_bytes,outbound_inbound_ratio,volume_asymmetry,label,attack_type,severity,ground_truth_confidence,source
2026-09-01T10:00:00+00:00,FLOW-0000001,10.10.5.67,10.20.9.42,7313,443,DNS,6.9596,117,112919,16.8113,16224.9465,117,0,965.1218,130.0452,705.0315,1225.2122,0.60475,0.03134,0,0,0,0,6.4837,3.7351,2,3,2,0.3207,117,11,13,3.5789,0.1805,1.6917,0.078,1.653585,unknown,unknown,,,117267,12456,9.4145,0.808,BENIGN,BENIGN,Low,0.1981,lab_generated
2026-09-01T10:00:01+00:00,FLOW-0000002,10.10.2.51,10.20.1.136,37704,80,DNS,3.7869,25,20305,6.6016,5361.8547,25,0,812.2032,272.5169,267.1694,1357.237,0.74546,0.07256,0,0,0,0,4.4772,1.7862,3,3,3,1.02,25,2,20,3.2763,0.2336,5.4969,0.2211,1.34146,unknown,unknown,,,15468,2792,5.5401,0.6942,BENIGN,BENIGN,Low,0.1173,lab_generated
2026-09-01T10:00:02+00:00,FLOW-0000003,10.10.2.213,10.20.1.216,28408,53,UDP,1.6502,168,77141,101.8089,46747.8653,168,0,459.1748,225.1304,40.0,909.4355,0.77097,0.26172,0,0,0,0,5.8899,1.1667,3,4,3,2.3312,0,0,0,0.0,0.0,0.0,0.2145,1.297069,unknown,unknown,,,57533,59656,0.9644,0.0181,BENIGN,BENIGN,Low,0.2134,lab_generated
2026-09-01T10:00:03+00:00,FLOW-0000004,10.10.11.16,10.20.13.228,43488,53,QUIC,1.1957,190,134109,158.9026,112159.335,190,0,705.8417,283.2722,139.2974,1272.386,0.34767,0.04262,0,0,0,0,4.2508,1.3877,3,1,3,3.3224,0,0,0,0.0,0.0,0.0,0.2265,2.876318,unknown,unknown,,1,111076,23883,4.6508,0.6461,BENIGN,BENIGN,Low,0.1674,lab_generated
2026-09-01T10:00:04+00:00,FLOW-0000005,10.10.5.121,10.20.14.57,54449,53,DNS,12.461,247,184764,19.8219,14827.4191,247,0,748.0357,228.9829,290.07,1206.0014,0.50625,0.14763,0,0,0,0,2.6365,3.8444,3,3,3,0.2863,247,24,12,2.6105,0.1318,7.3253,0.0842,1.975319,unknown,unknown,,,185286,104616,1.7711,0.2783,BENIGN,BENIGN,Low,0.1176,lab_generated
2026-09-01T10:00:05+00:00,FLOW-0000006,10.10.14.134,10.20.16.27,27586,8080,TLS,6.593,61,46663,9.2522,7077.6667,61,0,764.9738,119.4093,526.1553,1003.7924,0.56767,0.14273,0,1,0,0,2.6396,1.553,2,4,2,0.4167,0,0,0,0.0,0.0,0.0,0.1872,1.761592,unknown,unknown,TLS1.3,,42460,8812,4.8184,0.6563,BENIGN,BENIGN,Low,0.2064,lab_generated
2026-09-01T10:00:06+00:00,FLOW-0000007,10.10.0.125,10.20.7.27,10648,53,DNS,8.164,130,126658,15.9235,15514.1895,130,0,974.2943,230.7087,512.8768,1435.7117,0.31313,0.03997,0,0,0,0,3.3033,2.2367,2,3,2,0.3127,130,13,11,3.2698,0.1694,2.5941,0.0708,3.193576,unknown,unknown,,,107709,34821,3.0932,0.5114,BENIGN,BENIGN,Low,0.1705,lab_generated
2026-09-01T10:00:07+00:00,FLOW-0000008,10.10.11.28,10.20.3.85,9936,443,DNS,3.6104,149,74988,41.2693,20769.8339,149,0,503.2754,133.1995,236.8764,769.6743,0.12392,0.01003,0,0,0,0,3.3624,1.155,3,1,3,1.0896,149,14,14,3.1833,0.2821,7.3352,0.097,8.069895,unknown,unknown,,,63924,52696,1.2131,0.0963,BENIGN,BENIGN,Low,0.1858,lab_generated
2026-09-01T10:00:08+00:00,FLOW-0000009,10.10.11.30,10.20.13.203,59093,8080,UDP,10.3845,205,159017,19.7409,15312.9096,205,0,775.6953,368.6065,40.0,1512.9082,0.79283,0.23637,0,0,0,0,3.9866,2.7915,2,2,2,0.2145,0,0,0,0.0,0.0,0.0,0.3062,1.261302,unknown,unknown,,,162312,153334,1.0586,0.0284,BENIGN,BENIGN,Low,0.1473,lab_generated
2026-09-01T10:00:09+00:00,FLOW-0000010,10.10.7.152,10.20.19.129,62573,22,DNS,7.2044,128,78520,17.7669,10898.894,128,0,613.4434,140.2357,332.9721,893.9147,0.52309,0.1596,0,0,0,0,5.6933,1.1378,2,4,2,0.3345,128,12,15,2.9846,0.0185,8.4765,0.2092,1.911726,unknown,unknown,,,73683,42279,1.7428,0.2708,BENIGN,BENIGN,Low,0.2128,lab_generated
2026-09-01T10:00:10+00:00,FLOW-0000011,10.10.8.81,10.20.14.238,20756,443,UDP,5.2787,246,204004,46.6026,38646.799,246,0,829.2861,203.0181,423.2499,1235.3223,0.26976,0.08276,0,0,0,0,2.6221,1.9485,3,1,3,0.6951,0,0,0,0.0,0.0,0.0,0.0802,3.706963,unknown,unknown,,,165765,109330,1.5162,0.2051,BENIGN,BENIGN,Low,0.1912,lab_generated
2026-09-01T10:00:11+00:00,FLOW-0000012,10.10.13.237,10.20.16.240,22646,443,DNS,18.0921,33,23083,1.824,1275.8617,33,0,699.4882,40.9814,617.5253,781.4511,0.35641,0.08706,0,0,0,0,2.8262,1.454,2,3,2,0.1561,33,3,15,2.4144,0.0383,3.3739,0.3465,2.805776,unknown,unknown,,,18096,22186,0.8156,0.1015,BENIGN,BENIGN,Low,0.1713,lab_generated
2026-09-01T10:00:12+00:00,FLOW-0000013,10.10.12.37,10.20.4.98,39930,8080,UDP,27.4483,141,118321,5.1369,4310.685,141,0,839.1609,129.24,580.6809,1097.6409,0.16857,0.03256,0,0,0,0,5.0503,1.4751,3,2,3,0.1229,0,0,0,0.0,0.0,0.0,0.3302,5.932192,unknown,unknown,,,122544,48431,2.5303,0.4335,BENIGN,BENIGN,Low,0.1632,lab_generated
2026-09-01T10:00:13+00:00,FLOW-0000014,10.10.12.72,10.20.9.116,35106,80,QUIC,11.7009,239,236220,20.4258,20188.2483,239,0,988.3692,257.1085,474.1523,1502.5862,0.20745,0.04329,0,0,0,0,5.5222,2.6639,3,1,3,0.332,0,0,0,0.0,0.0,0.0,0.1552,4.82044,unknown,unknown,,1,214552,42001,5.1083,0.6726,BENIGN,BENIGN,Low,0.1355,lab_generated
2026-09-01T10:00:14+00:00,FLOW-0000015,10.10.8.189,10.20.9.199,64320,22,UDP,15.2932,213,180033,13.9277,11772.0574,213,0,845.2262,188.2515,468.7233,1221.7291,0.13257,0.03955,0,0,0,0,6.165,1.8952,3,3,3,0.2267,0,0,0,0.0,0.0,0.0,0.2241,7.543023,unknown,unknown,,,178524,16489,10.8269,0.8309,BENIGN,BENIGN,Low,0.0733,lab_generated
2026-09-01T10:00:15+00:00,FLOW-0000016,10.10.12.82,10.20.8.53,42977,443,DNS,3.6935,233,200615,63.0841,54315.9252,233,0,861.0123,193.0233,474.9657,1247.0589,0.47537,0.15772,0,0,0,0,4.6987,2.3408,2,1,2,0.6263,233,23,17,2.7739,0.0708,8.1284,0.256,2.103619,unknown,unknown,,,172953,129401,1.3366,0.144,BENIGN,BENIGN,Low,0.1844,lab_generated
2026-09-01T10:00:16+00:00,FLOW-0000017,10.10.17.28,10.20.5.41,22149,8080,UDP,38.9791,216,215226,5.5414,5521.5717,216,0,996.4181,234.0668,528.2845,1464.5517,0.10049,0.02159,0,0,0,0,3.7101,1.9451,2,1,2,0.0658,0,0,0,0.0,0.0,0.0,0.2507,9.951526,unknown,unknown,,,209070,109934,1.9018,0.3108,BENIGN,BENIGN,Low,0.0644,lab_generated
2026-09-01T10:00:17+00:00,FLOW-0000018,10.10.16.229,10.20.9.5,20228,443,UDP,14.2455,159,166293,11.1614,11673.3505,159,0,1045.8692,114.19,817.4892,1274.2492,0.11737,0.00788,0,0,0,0,5.4364,3.7782,2,1,2,0.1505,0,0,0,0.0,0.0,0.0,0.1187,8.520209,unknown,unknown,,,151034,20692,7.2991,0.759,BENIGN,BENIGN,Low,0.1389,lab_generated
2026-09-01T10:00:18+00:00,FLOW-0000019,10.10.8.148,10.20.1.70,34709,8080,QUIC,4.7485,195,140110,41.0659,29506.3751,195,0,718.5144,216.3027,285.9089,1151.1198,0.68223,0.13112,0,0,0,0,5.264,3.5555,2,1,2,0.5796,0,0,0,0.0,0.0,0.0,0.3037,1.465785,unknown,unknown,,1,115951,93974,1.2339,0.1047,BENIGN,BENIGN,Low,0.1663,lab_generated
